"3. ME_NO: N0520064, location: BK202\COLT_N79COLT.csv, index: 434254"
SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,CNT,MONA_T,MONB_T,DO_NO,ME_NO,STAT
N1736,,1,300,0,11,0,12000,N017227,N0520064,

"4. ME_NO: N0520064, location: BK202\COLT_N80NCRT.csv, index: 543029"
SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,CNT,MONA_T,MONB_T,DO_NO,ME_NO,STAT
N1736,.,1,1,1,6,5000,12000,,N0520064,2

"5. ME_NO: N0520064, location: BK202\COLT_N81COLT.csv, index: 565108"
SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,CNT,MONA_T,MONB_T,DO_NO,ME_NO,STAT
N1736,.,1,2,1,1,7000,12000,N017227,N0520064,

"6. ME_NO: N0520064, location: BK202\COLT_N82COLT.csv, index: 619251"
SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,CNT,MONA_T,MONB_T,DO_NO,ME_NO,STAT
N1736,.,1,2,1,1,6000,12000,N017227,N0520064,

"7. ME_NO: N0520064, location: BK202\COL_N80NCR.csv, index: 3258448"
SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,ME_NO,OPD_DATE,MONA,STATA,MONB,STATB,STAT
N1736,.,1,1,1,N0520064,1980-03-28,0,4,2000,2,2

"8. ME_NO: N0520064, location: BK202\COL_N80NCR.csv, index: 3258449"
SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,ME_NO,OPD_DATE,MONA,STATA,MONB,STATB,STAT
N1736,.,1,1,1,N0520064,1980-05-02,1000,2,2000,2,2

"9. ME_NO: N0520064, location: BK202\COL_N80NCR.csv, index: 3258450"
SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,ME_NO,OPD_DATE,MONA,STATA,MONB,STATB,STAT
N1736,.,1,1,1,N0520064,1980-07-06,1000,2,2000,2,2

"10. ME_NO: N0520064, location: BK202\COL_N80NCR.csv, index: 3258451"
SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,ME_NO,OPD_DATE,MONA,STATA,MONB,STATB,STAT
N1736,.,1,1,1,N0520064,1980-09-02,1000,2,2000,2,2

"11. ME_NO: N0520064, location: BK202\COL_N80NCR.csv, index: 3258452"
SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,ME_NO,OPD_DATE,MONA,STATA,MONB,STATB,STAT
N1736,.,1,1,1,N0520064,1980-11-02,1000,2,2000,2,2

"12. ME_NO: N0520064, location: BK202\COL_N80NCR.csv, index: 3258453"
SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,ME_NO,OPD_DATE,MONA,STATA,MONB,STATB,STAT
N1736,.,1,1,1,N0520064,1980-12-30,1000,2,2000,2,2

"16. ME_NO: N0520064, location: BK214\86TZCOL_COL_6.csv, index: 32901"
SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,DO_NO,ME_NO,VOU_CAT,VOU_SERNO,VOU_MMYY,VOU_NAME,VOU_PAGE,DATE1,MONA1,MONB1,STAT1,STATS1,DATE2,MONA2,MONB2,STAT2,STATS2,DATE3,MONA3,MONB3,STAT3,STATS3,DATE4,MONA4,MONB4,STAT4,STATS4,DATE5,MONA5,MONB5,STAT5,STATS5,DATE6,MONA6,MONB6,STAT6,STATS6,DATE7,MONA7,MONB7,STAT7,STATS7,DATE8,MONA8,MONB8,STAT8,STATS8,DATE9,MONA9,MONB9,STAT9,STATS9,DATE10,MONA10,MONB10,STAT10,STATS10,DATE11,MONA11,MONB11,STAT11,STATS11,DATE12,MONA12,MONB12,STAT12,STATS12
N1736,.,1,2,1,N017227,N0520064,2,1,2,陳金海,,1986-03-03,2000,2000,2,@,,0,0,,,,0,0,,,1986-04-29,2000,2000,2,@,1986-07-01,2000,2000,2,@,,0,0,,,,0,0,,,1986-08-31,2000,2000,2,@,,0,0,,,1986-10-31,2000,2000,2,@,,0,0,,,1986-12-29,2000,2000,2,@

"18. ME_NO: N0520064, location: BK215\86TZ_VOU_12.csv, index: 304514"
VOU_NAME,VOU_DATE,VOU_MM,MONA,MONB,MONC,MONC_KIND,MOND,ME_NO,DO_NO,VOU_CAT,VOU_MMYY,VOU_PAGE,VOU_SOU,SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,MM1,MM2,MM3,MM4,MM5,MM6,MM7,MM8,MM9,MM10,MM11,MM12,OP_DATE,VOU_CNT,OWNER,STAT,REMARK,WORKNOA,WORKNOB
陳金海,1986-12-29,12,54000,54000,,,,N0520064,N017227,2,2,0,M,N1736,.,1,2,1,*,,,*,*,,,*,,*,,*,1987-01-07,,陳思樺,#,,,

"19. ME_NO: N0520064, location: BK216\N85TZ_PAYMEM.csv, index: 95121"
DO_NO,ME_NO,VOU_CAT,VOU_NO,VOU_NAME,ME_NAME,SI_NO1,SI_ID1,OPD_DATE,MON_CAT,DATES,MONAS,MONBS,STATS,OWNER,STAT,REMARK,P_CASE,P_USED,P_FUND,CASE_SUB,P_LOCAL,PM_SOU,REMARK1,REMARK3,P_SERNO,REMARK4,SI_NO,SI_ID,RECNO,YEARS
N017227,N0520064,1,91470,陳金海,陳金海,N0840,.,1985-09-23,A,1985-09-23,50000,,1,張愛智,*,,,K,B,,,,,,1,,,,,85

"20. ME_NO: N0520064, location: BK216\N85TZ_VOU_9.csv, index: 28855"
VOU_NAME,VOU_DATE,VOU_MM,MONA,MONB,MONC,MONC_KIND,MOND,ME_NO,DO_NO,VOU_CAT,VOU_MMYY,VOU_PAGE,VOU_SOU,SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,MM1,MM2,MM3,MM4,MM5,MM6,MM7,MM8,MM9,MM10,MM11,MM12,OP_DATE,VOU_CNT,OWNER,STAT,REMARK,WORKNOA,WORKNOB
蘆洲模板企業有限公司,1985-09-14,9,,,1000000,,,N0520064,N017227,3,1,,S,N1736,.,1,304,1,,,,,,,,,,,,,1985-09-14,,歐紫鳳,#,歐紫鳳重85.09.1,,

"21. ME_NO: N0520064, location: BK218\85TZCOL_COLST.csv, index: 28049"
SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,CNT,MONA_T,MONB_T,MONC_T,MOND_T,DO_NO,ME_NO,STAT
N1736,.,1,304,1,1,0,0,1000000,,N017227,N0520064,

"22. ME_NO: N0520064, location: BK218\85TZCOL_COLS_6.csv, index: 3005"
SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,DO_NO,ME_NO,VOU_CAT,VOU_SERNO,VOU_MMYY,VOU_NAME,COLS_MM,DATES,MONAS,MONBS,MONCS,MONCS_KIND,STATS,STATS1,STATC,PRT_STAT
N1736,.,1,304,1,N017227,N0520064,3,1,1,蘆洲模板企業有限公司,9,1985-09-14,0,0,1000000,A,2,@,2,

"23. ME_NO: N0520064, location: BK218\85TZCOL_COLT.csv, index: 571194"
SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,CNT,MONA_T,MONB_T,MONC_T,MOND_T,DO_NO,ME_NO,STAT
N1736,.,1,2,1,1,10000,10000,,,N017227,N0520064,

"24. ME_NO: N0520064, location: BK218\85TZCOL_COL_6.csv, index: 40765"
SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,DO_NO,ME_NO,VOU_CAT,VOU_SERNO,VOU_MMYY,VOU_NAME,VOU_PAGE,DATE1,MONA1,MONB1,STAT1,STATS1,DATE2,MONA2,MONB2,STAT2,STATS2,DATE3,MONA3,MONB3,STAT3,STATS3,DATE4,MONA4,MONB4,STAT4,STATS4,DATE5,MONA5,MONB5,STAT5,STATS5,DATE6,MONA6,MONB6,STAT6,STATS6,DATE7,MONA7,MONB7,STAT7,STATS7,DATE8,MONA8,MONB8,STAT8,STATS8,DATE9,MONA9,MONB9,STAT9,STATS9,DATE10,MONA10,MONB10,STAT10,STATS10,DATE11,MONA11,MONB11,STAT11,STATS11,DATE12,MONA12,MONB12,STAT12,STATS12
N1736,.,1,2,1,N017227,N0520064,2,1,2,陳金海,,,0,0,,,1985-03-02,2000,2000,2,@,,0,0,,,1985-04-30,2000,2000,2,@,,0,0,,,1985-07-02,2000,2000,2,@,,0,0,,,1985-09-03,2000,2000,2,@,,0,0,,,1985-10-28,2000,2000,2,@,,,,,,1985-12-28,2000,2000,2,@

"26. ME_NO: N0520064, location: BK224\N84DBF_COLST.csv, index: 45743"
SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,CNT,MONA_T,MONB_T,MONC_T,DO_NO,ME_NO,STAT
N1736,.,1,312,1,1,0,0,9560,N017227,N0520064,

"27. ME_NO: N0520064, location: BK224\N84DBF_COLST.csv, index: 46381"
SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,CNT,MONA_T,MONB_T,MONC_T,DO_NO,ME_NO,STAT
N1736,.,1,313,1,1,0,0,200000,N017227,N0520064,

"28. ME_NO: N0520064, location: BK224\N84DBF_COLS_6.csv, index: 2892"
SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,DO_NO,ME_NO,VOU_CAT,VOU_SERNO,VOU_MMYY,VOU_NAME,COLS_MM,DATES,MONAS,MONBS,MONCS,MONCS_KIND,STATS,STATS1,STATC,PRT_STAT
N1736,.,1,312,1,N017227,N0520064,2,1,1,陳金海,7,1984-07-03,0,0,9560,A,2,@,2,

"29. ME_NO: N0520064, location: BK224\N84DBF_COLS_6.csv, index: 3530"
SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,DO_NO,ME_NO,VOU_CAT,VOU_SERNO,VOU_MMYY,VOU_NAME,COLS_MM,DATES,MONAS,MONBS,MONCS,MONCS_KIND,STATS,STATS1,STATC,PRT_STAT
N1736,.,1,313,1,N017227,N0520064,2,1,1,陳金海,8,1984-08-07,0,0,200000,I,2,@,2,

"30. ME_NO: N0520064, location: BK224\N84DBF_COLT.csv, index: 588555"
SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,CNT,MONA_T,MONB_T,DO_NO,ME_NO,STAT
N1736,.,1,2,1,1,12000,12000,N017227,N0520064,

"31. ME_NO: N0520064, location: BK224\N84DBF_COL_6.csv, index: 44733"
SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,DO_NO,ME_NO,VOU_CAT,VOU_SERNO,VOU_MMYY,VOU_NAME,VOU_PAGE,DATE1,MONA1,MONB1,STAT1,STATS1,DATE2,MONA2,MONB2,STAT2,STATS2,DATE3,MONA3,MONB3,STAT3,STATS3,DATE4,MONA4,MONB4,STAT4,STATS4,DATE5,MONA5,MONB5,STAT5,STATS5,DATE6,MONA6,MONB6,STAT6,STATS6,DATE7,MONA7,MONB7,STAT7,STATS7,DATE8,MONA8,MONB8,STAT8,STATS8,DATE9,MONA9,MONB9,STAT9,STATS9,DATE10,MONA10,MONB10,STAT10,STATS10,DATE11,MONA11,MONB11,STAT11,STATS11,DATE12,MONA12,MONB12,STAT12,STATS12
N1736,.,1,2,1,N017227,N0520064,2,1,2,陳金海,,1984-03-01,2000,2000,2,@,,0,0,,,,0,0,,,1984-04-28,2000,2000,2,@,,0,0,,,1984-06-27,2000,2000,2,@,,0,0,,,1984-08-29,2000,2000,2,@,,0,0,,,1984-10-27,2000,2000,2,@,,,,,,1984-12-30,2000,2000,2,@

"33. ME_NO: N0520064, location: BK225\N84DBF_VOU_12.csv, index: 344721"
VOU_NAME,VOU_DATE,VOU_MM,MONA,MONB,MONC,MONC_KIND,ME_NO,DO_NO,VOU_CAT,VOU_MMYY,VOU_PAGE,VOU_SOU,SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,MM1,MM2,MM3,MM4,MM5,MM6,MM7,MM8,MM9,MM10,MM11,MM12,OP_DATE,VOU_CNT,OWNER,STAT,REMARK,WORKNOA,WORKNOB
陳金海,1984-12-30,12,54000,54000,,,N0520064,N017227,2,2,0,M,N1736,.,1,2,1,*,,,*,,*,,*,,*,,*,1985-01-07,,蔡佳樺,#,,,

"34. ME_NO: N0520064, location: BK225\N84DBF_VOU_7.csv, index: 741"
VOU_NAME,VOU_DATE,VOU_MM,MONA,MONB,MONC,MONC_KIND,ME_NO,DO_NO,VOU_CAT,VOU_MMYY,VOU_PAGE,VOU_SOU,SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,MM1,MM2,MM3,MM4,MM5,MM6,MM7,MM8,MM9,MM10,MM11,MM12,OP_DATE,VOU_CNT,OWNER,STAT,REMARK,WORKNOA,WORKNOB
陳金海,1984-07-03,7,,,9560,,N0520064,N017227,2,1,,S,N1736,.,1,312,1,,,,,,,,,,,,,1984-07-03,,蔡佳樺,#,,,

"35. ME_NO: N0520064, location: BK225\N84DBF_VOU_8.csv, index: 8936"
VOU_NAME,VOU_DATE,VOU_MM,MONA,MONB,MONC,MONC_KIND,ME_NO,DO_NO,VOU_CAT,VOU_MMYY,VOU_PAGE,VOU_SOU,SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,MM1,MM2,MM3,MM4,MM5,MM6,MM7,MM8,MM9,MM10,MM11,MM12,OP_DATE,VOU_CNT,OWNER,STAT,REMARK,WORKNOA,WORKNOB
陳金海,1984-08-07,8,,,200000,,N0520064,N017227,2,1,,S,N1736,.,1,313,1,,,,,,,,,,,,,1984-08-07,,蔡佳樺,#,,,

"36. ME_NO: N0520064, location: BK227\COLT.csv, index: 611937"
SI_NO,SI_ID,BOOK_NO,PAGE_NO,PAGE_SERNO,CNT,MONA_T,MONB_T,MONC_T,DO_NO,ME_NO,STAT
N1736,.,1,2,1,1,12000,12000,,N017227,N0520064,

"37. ME_NO: N0520064, location: BK227\COL_6.csv, index: 60879"
